Regulator	Target	Regression_coefficient	Correlation_coefficient
Nanog	Alg13	0.177278	0.267908
Snai2_nca	Alg13	-0.065494	-0.095223
Elf3	Alpl	0.039478	0.059432
Nanog	Alpl	0.162615	0.188516
Dppa5a	Dppa3	0	0
Elf3	Dppa3	-0.013603	-0.015927
Nanog	Dppa3	-0.01697	-0.014925
Snai2_nca	Dppa3	0.019184	0.016646
Dppa3	Elf3	-0.013175	-0.015927
Nanog	Elf3	0.149283	0.14918
Tfcp2l1	Elf3	0.026262	0.024822
Dppa3	Fam25c	-0.013797	-0.013761
Esrrb	Fam25c	-0.013797	-0.013761
Nanog	Fgf4	0.06298	0.095404
Nr6a1_nca	Fgf4	0.162835	0.199535
Dppa3	Mylpf	-0.002516	-0.008677
Dppa5a	Mylpf	0	0
Esrrb	Mylpf	-0.020436	-0.008677
Nanog	Mylpf	-0.015112	0.095048
Tfcp2l1	Mylpf	0.114856	0.107808
Elf3	Nanog	0.077371	0.14918
Esrrb	Nanog	-0.006719	0.088257
Nr6a1_nca	Nanog	0.124987	0.347861
Snai2_nca	Nanog	0.334803	0.205384
Tfcp2l1	Nanog	-0.039232	-0.011407
Esrrb	Tdh	0.045932	0.05732
Nr6a1_nca	Tdh	0.302334	0.326309
Dppa5a	Tfap2c	0	0
Nanog	Tfap2c	0.395351	0.460029
Elf3	Tfcp2l1	0.019755	0.024822
Esrrb	Tfcp2l1	-0.026533	-0.019941
Nanog	Tfcp2l1	-0.027021	-0.011407
