Regulator	Target	Regression_coefficient	Correlation_coefficient
Nanog	Alg13	0.258491	0.384609
Snai2_nca	Alg13	0.139204	0.234085
Elf3	Alpl	0.022005	0.075898
Nanog	Alpl	0.127865	0.211444
Dppa5a	Dppa3	0.180172	0.227159
Elf3	Dppa3	0.137742	0.1959
Nanog	Dppa3	0.122553	0.193454
Snai2_nca	Dppa3	0.049614	0.156583
Dppa3	Elf3	0.178791	0.1959
Nanog	Elf3	0.000581	0.099162
Tfcp2l1	Elf3	0.173263	0.191017
Dppa3	Fam25c	0.096292	0.14772
Esrrb	Fam25c	0.265492	0.284145
Nanog	Fgf4	0.088825	0.315728
Nr6a1_nca	Fgf4	0.406807	0.467149
Dppa3	Mylpf	0.050047	0.148544
Dppa5a	Mylpf	0.274611	0.407797
Esrrb	Mylpf	0.245346	0.419275
Nanog	Mylpf	0.129687	0.312473
Tfcp2l1	Mylpf	0.123719	0.346165
Elf3	Nanog	-0.018789	0.099162
Esrrb	Nanog	0.165302	0.485757
Nr6a1_nca	Nanog	0.167075	0.539413
Snai2_nca	Nanog	0.148916	0.244391
Tfcp2l1	Nanog	0.086514	0.36934
Esrrb	Tdh	0.320806	0.690028
Nr6a1_nca	Tdh	0.409857	0.719226
Dppa5a	Tfap2c	-0.012997	0.119065
Nanog	Tfap2c	0.208508	0.262997
Elf3	Tfcp2l1	0.150198	0.191017
Esrrb	Tfcp2l1	0.391733	0.51995
Nanog	Tfcp2l1	0.135883	0.36934
