Gene	C2	C7	C3	C5	C12	C13	C14	C11	C4	C8	C6	C10	C9	C1
Sept11	2.2130058456790125	2.4316259226804124	2.434583852459016	2.559196145038168	1.6764163958333334	2.028642181372549	1.2581652608695653	2.421172838150289	1.98449776427256	1.9459617864864864	2.111353496527778	1.9878677755102039	1.2457232876712327	1.6243176227106229
Sep15	3.436186938271605	3.4110817731958765	2.6168687704918034	2.698822320610687	2.387780779166667	2.69412730882353	2.2344679202898554	2.6388718208092485	2.4817929079189684	2.418495154054054	2.5448513645833333	2.1736964183673466	1.9103103356164384	1.9602128461538462
Marc2	0.6725119053497942	0.6378853402061856	0.9418749118852459	1.0009074885496183	0.7442678041666666	0.8318723284313725	0.7749680144927537	1.0621587283236993	0.9940005911602209	1.2428062837837839	1.2163503645833333	0.9775314234693877	1.3629153321917808	0.4793392417582417
Sept7	2.4881224711934156	2.7192389123711336	2.2905145758196723	2.0532948969465648	1.6894665791666665	2.172688117647059	1.2603664347826087	1.812116260115607	1.6806393241252302	1.6163879216216217	1.682416638888889	1.3124492346938776	1.1080580684931507	1.7612566117216117
Aars	1.2004662263374486	1.2341798402061857	1.086426774590164	1.357344961832061	0.5832967916666667	0.5017075147058824	0.1724443115942029	0.6621056358381503	0.3665760073664825	0.6543981648648649	0.9230787534722222	0.5388641734693878	1.075051133561644	2.157659468864469
Aatf	0.2544101502057613	0.2924301597938144	0.35683171516393447	0.3233413893129771	0.18475700833333333	0.2296111862745098	0.16868507971014493	0.24993265317919075	0.24382470534069983	0.30469015675675676	0.3295888923611111	0.4491080204081633	0.3194533253424658	0.31719158974358974
Abat	0.18706561522633744	0.1187181649484536	0.07535431147540983	0.039425366412213746	0.108991575	0.4045397254901961	0.2367695507246377	0.8171282369942195	0.5915683535911602	0.4080548054054054	0.06515281597222222	0.21330688265306122	0.0581443698630137	0.03962435897435898
Abca1	0.08415339300411523	0.08164046391752577	0.47061185040983605	0.14024934732824426	0.25245684166666665	0.5250057794117647	0.2537693188405797	1.526449965317919	0.8965877034990792	0.5792622486486486	0.19579519444444443	0.49438562244897954	0.11185814383561643	0.08276073260073259
Abce1	1.7171835185185185	2.0080585103092785	1.9707155102459015	2.3369600343511454	0.9319764708333333	0.8620185245098039	0.6006298115942029	1.469716867052023	1.1020241915285451	1.4560856972972973	2.1090800138888888	1.4571975969387754	1.6780021575342465	2.575497315018315
Abracl	1.8611682283950617	1.842290211340206	1.4912373155737704	1.7907870572519085	1.1569724416666667	0.9078407745098038	0.6283060434782608	1.2424931502890173	0.7681059171270718	0.8504404891891892	0.8910880833333334	0.9169626989795919	0.5769704691780823	0.6528155750915751
